District,Total_Features,Neighborhood_Count,Feature_Types
ŞİLE,104,104,"Park, Meydan, Kamu, Cadde (Kavşak ve Refüj)"
PENDİK,90,90,"Park, Cadde (Kavşak ve Refüj), Karayolu (Kavşak, Şev-Yamaç ve Refüj), Ağaçlandırma Sahası, Kamu, Koru"
SARIYER,69,69,"Park, Cadde (Kavşak ve Refüj), Koru, Metro Çıkışı, Ağaçlandırma Sahası, Kamu, Kent Ormanı, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Hatıra Ormanı, Meydan"
ÜSKÜDAR,62,62,"Meydan, Kamu, Park, Cadde (Kavşak ve Refüj), Karayolu (Kavşak, Şev-Yamaç ve Refüj), Koru, Metro Çıkışı, Hatıra Ormanı"
EYÜPSULTAN,60,60,"Park, Cadde (Kavşak ve Refüj), Karayolu (Kavşak, Şev-Yamaç ve Refüj), Kent Ormanı, Metro Çıkışı, Mesire Alanı, Kamu, Ağaçlandırma Sahası, Meydan, Hatıra Ormanı"
ADALAR,60,60,"Kamu, Park, Meydan, Cadde (Kavşak ve Refüj), Ağaçlandırma Sahası, Karayolu (Kavşak, Şev-Yamaç ve Refüj)"
FATİH,60,60,"Cadde (Kavşak ve Refüj), Park, Kamu, Koru, Meydan, Metro Çıkışı, Ağaçlandırma Sahası"
BEYKOZ,59,59,"Kamu, Park, Cadde (Kavşak ve Refüj), Hatıra Ormanı, Ağaçlandırma Sahası, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Meydan, Koru, Mesire Alanı"
KARTAL,58,58,"Cadde (Kavşak ve Refüj), Kamu, Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Meydan"
BAKIRKÖY,58,58,"Kamu, Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Cadde (Kavşak ve Refüj), Koru, Meydan, Metro Çıkışı"
ÜMRANİYE,45,45,"Cadde (Kavşak ve Refüj), Metro Çıkışı, Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Meydan, Kamu"
MALTEPE,43,43,"Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Koru, Kamu, Cadde (Kavşak ve Refüj), Meydan"
BEYOĞLU,38,38,"Park, Kamu, Meydan, Cadde (Kavşak ve Refüj), Karayolu (Kavşak, Şev-Yamaç ve Refüj)"
TUZLA,36,36,"Kamu, Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Cadde (Kavşak ve Refüj)"
BAŞAKŞEHİR,35,35,"Metro Çıkışı, Cadde (Kavşak ve Refüj), Park, Kamu, Meydan, Karayolu (Kavşak, Şev-Yamaç ve Refüj)"
KÜÇÜKÇEKMECE,34,34,"Cadde (Kavşak ve Refüj), Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Kamu, Meydan"
BAĞCILAR,33,33,"Karayolu (Kavşak, Şev-Yamaç ve Refüj), Park, Kamu, Metro Çıkışı, Cadde (Kavşak ve Refüj), Meydan"
BEŞİKTAŞ,32,32,"Cadde (Kavşak ve Refüj), Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Kamu, Metro Çıkışı, Koru, Meydan"
