Istasyon_Adi,Proje_Adi,Hat_Turu,Proje_Asama,Longitude,Latitude,Ilce_Manuel,Ilce_Nihai
Mehmet Akif,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.881680707,41.0058001386,Bağcılar,Bağcılar
Soğanlık,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1923983239,40.9132883838,Kadıköy,Kadıköy
Aksaray,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9480900733,41.0120083811,,
Olimpiyat,M9 Bahariye - Olimpiyat Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7672340276,41.0794660403,,
Sağmalcılar-Pancar Motor,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.906939745,41.0572800041,,
Karadeniz,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8822397351,41.0752974339,,
Bakırköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.8723322859,40.980241915,,
Erenköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.0764726676,40.9714092752,,
Pendik,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.2385281454,40.8887242519,Kadıköy,Kadıköy
Yakacık - Adnan Kahveci,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.2271981056,40.8967288368,Kadıköy,Kadıköy
Güzelyalı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.2834955975,40.8568547122,,
Çarşı,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0973186221,41.0259432808,Üsküdar,Üsküdar
İdealtepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.114255858,40.9378068715,,
Üsküdar,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0128155731,41.0252969925,Üsküdar,Üsküdar
Göztepe Mah.,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.848131392,41.0568370074,,
Altıyol,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.0289380334,40.9897914366,Kadıköy,Kadıköy
Güngören,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8775129878,41.0152086456,Bağcılar,Bağcılar
Üniversite,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9428477215,41.0698014663,,
Alibeyköy Merkez,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9460604337,41.0737690827,,
Alibeyköy Metro,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9494471692,41.0784579664,,
Alibeyköy Cep Otogarı,Eminönü - Eyüp - Alibeyköy Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9439170961,41.0868880935,,
Cibali,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9603097439,41.0242383795,,
Fetihkapı,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9253384078,41.0218231939,,
Sanayi Mah.,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0051660767,41.0943417237,,
Tophane,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9808666,41.0269906403,Bağcılar,Bağcılar
Kirazlı,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8424316868,41.0327712121,,
Gülhane,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9784244836,41.0121629659,Bağcılar,Bağcılar
Siteler,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7965144472,41.0882009753,,
Bahariye,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.0285260083,40.9878694508,Kadıköy,Kadıköy
Levent,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0136915989,41.0767715513,,
Topkapı,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9194509655,41.0192277354,Bağcılar,Bağcılar
Merkezefendi,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9095053582,41.0103904554,Bağcılar,Bağcılar
Yavuz Selim Camii,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8636557132,41.0238202101,Bağcılar,Bağcılar
Yeşilyurt,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.8372751097,40.9654691979,,
Tersane,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.2733636214,40.8609774864,,
Halkalı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.7663997635,41.0178236153,,
Mahmutbey,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8315007416,41.0549034307,,
Ünalan,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0598854733,40.9981735143,Kadıköy,Kadıköy
Fener,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9544622861,41.0286247834,,
Yenimahalle,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.86297747,41.0998271111,,
Otogar,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8945640632,41.0401423681,,
Habibler,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8437966736,41.1224578381,,
Başak Konutları,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7912865195,41.097668849,,
4. Levent,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0070937585,41.0860061902,,
Esenler,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8884510108,41.0370483035,,
Mühürdar,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.0213268333,40.985181343,Kadıköy,Kadıköy
Kocatepe,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8955204746,41.0484570927,,
Taşköprü,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8876515183,41.0726561721,,
Etiler,M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0375407815,41.0823435461,,
Suadiye,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.0844186912,40.9604752408,,
Bostancı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.0950591486,40.9538001485,,
Oruc Reis,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8553800128,41.0628471179,,
Çırçır,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9362253204,41.0802283123,,
Mustafa Kemal,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.7739273174,41.0062619961,,
Sirkeci,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9758940742,41.0151787938,Bağcılar,Bağcılar
Pazartekke,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9271565618,41.0182643876,Bağcılar,Bağcılar
Kirazlı,M1B Yenikapı - Kirazlı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8427537611,41.0331712495,,
Bayrampaşa,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9202426412,41.034096046,,
Eyüpsultan Teleferik,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9351655775,41.0504706073,,
İTÜ Ayazağa,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0207987305,41.1080929067,,
Yenikapı,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9504763048,41.005588975,,
